,id,title,artist,danceability,energy,key,loudness,modal,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sentiments,no_of_tags
134,40UjDmQuYPOpa0zki1udgC,Lovin U,Alicia Keys,0.54,0.524,4,-7.651,1,0.117,0.000763,0.0689,0.446,129.872,228400,3,positive,2
135,6T1l2X3WlaJZuxkB1RIbgy,Thank Your Lucky Stars,311,0.593,0.786,4,-6.395,1,0.000343,0.0,0.0645,0.822,170.439,204733,4,positive,1
136,6vz7tLuNbUCPEK2KLrC1zo,Crayons,CupcakKe,0.833,0.798,2,-4.022,1,0.0192,0.0,0.0724,0.351,104.038,191592,4,positive,1
137,3vFZheR74pxUkzxqhXTZ2X,Ruler Of Everything,Tally Hall,0.58,0.791,11,-7.604,0,0.196,0.00326,0.0793,0.343,83.323,222107,4,positive,3
138,0edULMXqdv4qV7CcJ6Obvd,Wishful Thinking,Vivian Green,0.672,0.544,1,-6.583,1,0.267,0.0,0.366,0.443,91.005,244840,4,positive,3
139,1xTQ4CCk6odaT8S0aANviD,Fuego y Miedo,Ska-P,0.534,0.956,9,-2.557,0,0.0022,1.88e-06,0.0915,0.735,151.941,222467,4,positive,2
140,4FrcriFqvsNgc3gLmJfYUh,Section XI,Steve Reich,0.364,0.44,2,-19.919,1,0.976,0.947,0.0977,0.46,106.026,252220,3,positive,2
141,0Ad93Ruu1wGsmwOKa3at9f,Inner Light Spectrum,311,0.727,0.494,1,-10.075,1,0.201,0.000144,0.109,0.565,130.239,220440,4,positive,3
142,7shfzDJwUBKTuxNTiS85jo,The Punks Are Writing Love Songs,Tullycraft,0.597,0.935,7,-5.139,1,0.152,0.0,0.368,0.844,108.194,178093,4,positive,2
143,7C5baKLG5d765Vb3DObxY0,Kvasa Kvasa,Markscheider Kunst,0.706,0.946,7,-5.895,1,0.155,0.00951,0.256,0.97,113.666,190746,4,positive,6
144,5HiC4hJYNbDqmqdPoTiCPK,I Love You To Death,Family Force 5,0.588,0.973,1,-2.581,1,0.00102,0.000634,0.0545,0.623,171.067,164827,4,positive,3
145,24lelhBg9ci2wJpVOzhUQ1,Lift Me Up,Saturday Looks Good To Me,0.608,0.921,2,-2.429,1,0.000569,0.00169,0.0795,0.703,95.885,169867,4,positive,2
146,6n97i9Z57zE5SpcQJPVAQB,Rain Falls For Wind,The Sleepy Jackson,0.559,0.912,6,-5.314,0,0.06,0.142,0.625,0.576,126.246,243387,4,positive,1
147,7iuU9NU6rhcWNYJ1KjylTO,Lead Me,Sanctus Real,0.314,0.644,1,-4.646,1,0.0266,0.0,0.108,0.27,198.063,228800,4,positive,3
148,6YX4aQtd9oWhtC38cK2o7Q,Godan Daginn,Sigur Rós,0.334,0.454,2,-10.787,1,0.267,0.246,0.116,0.0403,123.902,315320,4,positive,1
149,3dmPjkQXJCJerYZSQiG4h7,Lass die Musik an,Madsen,0.517,0.856,10,-4.209,0,0.00437,0.0,0.106,0.486,154.953,242307,4,positive,1
150,0JbJoRfTb3WMoAuN5NOH9T,Ladies And Gentlemen Part I,The Presidents of the United States of America,0.579,0.552,1,-8.017,1,0.0374,0.000274,0.307,0.127,138.385,97560,4,positive,1
151,0eeBHKbZv2xHmrVjDxL3ve,Blue Skies,Blue October,0.651,0.967,7,-6.981,1,0.0428,0.0,0.223,0.365,116.978,223320,4,positive,1
152,6qUOGh3YfBpl1dJf7ePqTm,DLMD,311,0.61,0.8,10,-7.04,0,0.00146,0.0,0.331,0.712,93.52,131333,4,positive,2
153,5A64Bt7kMxeZQEDDgRQwVk,Палево!,Noize MC,0.785,0.953,0,-3.247,1,0.0514,0.0,0.113,0.732,117.015,196187,4,positive,3
